epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.5633,2.65582,4.1938,1.3228,0.00078,0.00242,0.00039,4e-05,2.03151,4.00204,1.04736,5.716e-05,5.716e-05,5.716e-05
2,30.4191,2.38437,4.00939,1.17098,0.00087,0.00242,0.00044,0.00013,2.55657,4.00226,1.13539,0.000126064,0.000126064,0.000126064
3,40.0538,2.31444,3.72722,1.11101,0.00165,0.00483,0.0014,0.00031,2.61691,3.96554,1.14763,0.000192138,0.000192138,0.000192138
4,55.6671,2.3599,3.42575,1.07366,0.00577,0.02229,0.00311,0.00069,2.21889,3.87916,1.0487,0.000255382,0.000255382,0.000255382
5,75.8487,2.25698,2.99702,1.03313,0.00307,0.01241,0.00192,0.00028,2.0824,3.79134,1.01706,0.000315798,0.000315798,0.000315798
6,105.59,2.21417,2.65734,0.98641,0.0261,0.08718,0.07491,0.03534,2.09988,3.64547,1.01918,0.000373383,0.000373383,0.000373383
7,135.586,2.15794,2.42439,0.98175,0.06142,0.42962,0.15813,0.05269,2.06605,3.38614,1.0045,0.00042814,0.00042814,0.00042814
8,166.985,2.11368,2.05339,0.95627,0.06142,0.42962,0.15813,0.05269,2.06605,3.38614,1.0045,0.000480067,0.000480067,0.000480067
9,200.067,2.0446,1.8326,0.98625,0.09152,0.4238,0.27882,0.09658,1.87977,2.98679,0.97062,0.000529164,0.000529164,0.000529164
10,212.289,2.03489,1.78527,0.95946,0.59653,0.48342,0.38624,0.13494,1.88202,2.53631,0.97477,0.000575433,0.000575433,0.000575433
11,221.831,2.01458,1.59394,0.95519,0.59653,0.48342,0.38624,0.13494,1.88202,2.53631,0.97477,0.000618871,0.000618871,0.000618871
12,239.925,1.91984,1.58727,0.97571,0.67555,0.44422,0.39288,0.14922,2.02743,2.05883,1.00394,0.000659481,0.000659481,0.000659481
13,263.19,1.91445,1.39645,0.98772,0.67555,0.44422,0.39288,0.14922,2.02743,2.05883,1.00394,0.000697261,0.000697261,0.000697261
14,279.063,1.95101,1.50549,0.97112,0.67555,0.44422,0.39288,0.14922,2.02743,2.05883,1.00394,0.000732211,0.000732211,0.000732211
15,290.384,1.89417,1.37839,0.96585,0.71341,0.42699,0.41736,0.17401,1.84163,1.60582,0.9724,0.000764332,0.000764332,0.000764332
16,298.895,1.93182,1.38495,0.96206,0.71341,0.42699,0.41736,0.17401,1.84163,1.60582,0.9724,0.000793624,0.000793624,0.000793624
17,307.357,1.95945,1.38011,0.95634,0.71341,0.42699,0.41736,0.17401,1.84163,1.60582,0.9724,0.000820086,0.000820086,0.000820086
18,316.036,1.76857,1.40616,0.97819,0.72675,0.44335,0.43623,0.18846,1.80319,1.5152,0.96828,0.000843719,0.000843719,0.000843719
19,327.686,1.75489,1.38206,0.96801,0.72675,0.44335,0.43623,0.18846,1.80319,1.5152,0.96828,0.000864522,0.000864522,0.000864522
20,338.93,1.90392,1.35659,0.95855,0.72675,0.44335,0.43623,0.18846,1.80319,1.5152,0.96828,0.000882496,0.000882496,0.000882496
21,347.742,1.74095,1.30258,0.98128,0.41668,0.44433,0.43628,0.1932,1.74272,1.6951,0.98452,0.000863116,0.000863116,0.000863116
22,362.72,1.83227,1.28701,0.97272,0.41668,0.44433,0.43628,0.1932,1.74272,1.6951,0.98452,0.000834822,0.000834822,0.000834822
23,371.952,1.87411,1.32252,0.95988,0.41668,0.44433,0.43628,0.1932,1.74272,1.6951,0.98452,0.000806528,0.000806528,0.000806528
24,380.346,1.81881,1.30577,0.9635,0.43569,0.47103,0.47888,0.21333,1.70793,1.78413,0.96809,0.000778233,0.000778233,0.000778233
25,388.911,1.74054,1.2219,0.95555,0.43569,0.47103,0.47888,0.21333,1.70793,1.78413,0.96809,0.000749939,0.000749939,0.000749939
26,397.813,1.82107,1.278,0.94105,0.43569,0.47103,0.47888,0.21333,1.70793,1.78413,0.96809,0.000721645,0.000721645,0.000721645
27,406.267,1.78698,1.26149,0.93528,0.40471,0.48275,0.477,0.22728,1.63761,1.787,0.95019,0.000693351,0.000693351,0.000693351
28,415.013,1.78032,1.23804,0.93666,0.40471,0.48275,0.477,0.22728,1.63761,1.787,0.95019,0.000665057,0.000665057,0.000665057
29,423.666,1.72936,1.23271,0.94462,0.40471,0.48275,0.477,0.22728,1.63761,1.787,0.95019,0.000636762,0.000636762,0.000636762
30,432.312,1.75367,1.21101,0.93121,0.51759,0.4308,0.50528,0.23653,1.59526,1.57577,0.94348,0.000608468,0.000608468,0.000608468
31,453.782,1.63891,1.15181,0.96338,0.51759,0.4308,0.50528,0.23653,1.59526,1.57577,0.94348,0.000580174,0.000580174,0.000580174
32,493.228,1.64779,1.18896,0.93705,0.51759,0.4308,0.50528,0.23653,1.59526,1.57577,0.94348,0.00055188,0.00055188,0.00055188
33,510.829,1.67155,1.16397,0.94256,0.51759,0.4308,0.50528,0.23653,1.59526,1.57577,0.94348,0.000523586,0.000523586,0.000523586
34,521.366,1.77573,1.20174,0.92178,0.4971,0.45945,0.53251,0.2507,1.53877,1.34299,0.9378,0.000495291,0.000495291,0.000495291
35,544.412,1.68054,1.2042,0.93741,0.4971,0.45945,0.53251,0.2507,1.53877,1.34299,0.9378,0.000466997,0.000466997,0.000466997
36,583.456,1.64459,1.15216,0.92809,0.4971,0.45945,0.53251,0.2507,1.53877,1.34299,0.9378,0.000438703,0.000438703,0.000438703
37,598.52,1.59986,1.22244,0.93097,0.4543,0.52218,0.52926,0.25052,1.55381,1.20738,0.93919,0.000410409,0.000410409,0.000410409
38,609.393,1.67319,1.12797,0.90673,0.4543,0.52218,0.52926,0.25052,1.55381,1.20738,0.93919,0.000382115,0.000382115,0.000382115
39,618.261,1.656,1.14417,0.91849,0.4543,0.52218,0.52926,0.25052,1.55381,1.20738,0.93919,0.00035382,0.00035382,0.00035382
40,628.265,1.58214,1.1846,0.93449,0.51323,0.47962,0.52444,0.25001,1.54708,1.16346,0.93878,0.000325526,0.000325526,0.000325526
41,639.634,1.69758,1.54262,0.92616,0.51323,0.47962,0.52444,0.25001,1.54708,1.16346,0.93878,0.000297232,0.000297232,0.000297232
42,647.381,1.60812,1.35541,0.93138,0.51323,0.47962,0.52444,0.25001,1.54708,1.16346,0.93878,0.000268938,0.000268938,0.000268938
43,655.396,1.67175,1.38639,0.94173,0.50632,0.47036,0.52182,0.25267,1.52909,1.20802,0.93866,0.000240644,0.000240644,0.000240644
44,664.747,1.62329,1.32568,0.93702,0.50632,0.47036,0.52182,0.25267,1.52909,1.20802,0.93866,0.000212349,0.000212349,0.000212349
45,683.066,1.65765,1.39019,0.91828,0.50632,0.47036,0.52182,0.25267,1.52909,1.20802,0.93866,0.000184055,0.000184055,0.000184055
46,691.412,1.61669,1.29489,0.91149,0.51502,0.47001,0.51747,0.2464,1.53029,1.26527,0.93992,0.000155761,0.000155761,0.000155761
47,699.373,1.62676,1.20331,0.92846,0.51502,0.47001,0.51747,0.2464,1.53029,1.26527,0.93992,0.000127467,0.000127467,0.000127467
48,706.656,1.54359,1.17184,0.91696,0.51502,0.47001,0.51747,0.2464,1.53029,1.26527,0.93992,9.91726e-05,9.91726e-05,9.91726e-05
49,714.593,1.47549,1.14351,0.93336,0.51502,0.47001,0.51747,0.2464,1.53029,1.26527,0.93992,7.08784e-05,7.08784e-05,7.08784e-05
50,722.373,1.463,1.12801,0.91264,0.47278,0.46536,0.50433,0.24154,1.53537,1.25719,0.94248,4.25842e-05,4.25842e-05,4.25842e-05
